(.venv) .:AA:. python3 releases/rats/super_rats.py
initial population weights = [262, 323, 316, 219, 459, 387, 491, 315, 265, 554, 503, 511, 308, 281, 392, 378, 372, 311, 323, 308]
Generation 323 fitness = 0.4940
Generation 324 fitness = 0.5024
Generation 325 fitness = 0.5090
Generation 326 fitness = 0.5217
Generation 327 fitness = 0.5359
Generation 328 fitness = 0.5504
Generation 329 fitness = 0.5589
Generation 330 fitness = 0.5653
Generation 331 fitness = 0.5705
Generation 332 fitness = 0.5759
Generation 333 fitness = 0.5919
Generation 334 fitness = 0.6087
Generation 335 fitness = 0.6222
Generation 336 fitness = 0.6308
Generation 337 fitness = 0.6372
Generation 338 fitness = 0.6418
Generation 339 fitness = 0.6509
Generation 340 fitness = 0.6608
Generation 341 fitness = 0.6814
Generation 342 fitness = 0.6916
Generation 343 fitness = 0.6972
Generation 344 fitness = 0.7032
Generation 345 fitness = 0.7010
Generation 346 fitness = 0.7114
Generation 347 fitness = 0.7185
Generation 348 fitness = 0.7478
Generation 349 fitness = 0.7811
Generation 350 fitness = 0.8036
Generation 351 fitness = 0.8166
Generation 352 fitness = 0.8257
Generation 353 fitness = 0.8311
Generation 354 fitness = 0.8338
Generation 355 fitness = 0.8369
Generation 356 fitness = 0.8486
Generation 357 fitness = 0.8817
Generation 358 fitness = 0.9270
Generation 359 fitness = 0.9572
Generation 360 fitness = 0.9717
Generation 361 fitness = 0.9845
Generation 362 fitness = 0.9968
Generation 363 fitness = 1.0123
average weight per generation = [372, 432, 474, 501, 520, 532, 540, 544, 545, 550, 551, 552, 549, 550, 551, 552, 560, 577, 598, 615, 632, 641, 645, 650, 653, 655, 658, 666, 673, 680, 685, 688, 687, 691, 693, 693, 693, 694, 694, 694, 701, 704, 715, 735, 747, 755, 758, 768, 777, 800, 836, 863, 883, 914, 936, 949, 960, 968, 960, 974, 985, 1013, 1057, 1095, 1111, 1127, 1140, 1135, 1147, 1149, 1150, 1151, 1155, 1174, 1198, 1244, 1268, 1290, 1295, 1309, 1312, 1319, 1321, 1323, 1318, 1324, 1325, 1317, 1315, 1322, 1325, 1324, 1341, 1363, 1389, 1411, 1421, 1436, 1444, 1464, 1521, 1578, 1629, 1653, 1681, 1697, 1705, 1708, 1718, 1725, 1730, 1724, 1732, 1727, 1722, 1735, 1735, 1735, 1734, 1736, 1734, 1758, 1791, 1815, 1837, 1859, 1885, 1901, 1908, 1907, 1934, 2019, 2108, 2172, 2213, 2243, 2271, 2296, 2362, 2454, 2531, 2625, 2719, 2792, 2856, 2925, 2975, 3060, 3134, 3185, 3226, 3243, 3262, 3272, 3278, 3258, 3284, 3273, 3286, 3286, 3282, 3286, 3286, 3286, 3287, 3287, 3287, 3290, 3273, 3383, 3504, 3623, 3725, 3789, 3844, 3875, 3883, 3911, 3923, 3908, 3929, 3937, 3939, 3940, 3917, 3918, 3941, 3941, 3942, 3941, 3928, 3922, 3942, 3920, 3940, 3996, 4019, 4061, 4086, 4097, 4086, 4109, 4112, 4109, 4117, 4137, 4219, 4295, 4386, 4434, 4458, 4471, 4479, 4460, 4535, 4577, 4610, 4635, 4648, 4670, 4809, 4961, 5076, 5145, 5213, 5303, 5378, 5427, 5424, 5509, 5640, 5817, 5960, 6121, 6187, 6236, 6240, 6327, 6538, 6778, 7006, 7135, 7265, 7315, 7389, 7473, 7742, 8021, 8277, 8505, 8673, 8913, 9194, 9485, 9731, 9913, 10046, 10176, 10490, 10845, 11117, 11342, 11546, 11674, 11842, 12023, 12183, 12421, 12565, 12643, 12706, 12729, 12764, 12793, 12800, 12820, 12823, 12834, 12839, 12842, 12844, 12820, 12846, 12798, 12849, 12861, 12846, 12884, 12892, 12899, 12876, 12955, 13086, 13355, 13645, 13735, 13921, 14116, 14541, 14932, 15242, 15451, 15578, 15813, 15951, 16424, 16827, 17179, 17429, 17582, 17674, 17990, 18964, 19646, 20314, 20903, 21756, 22599, 23168, 23510, 23832, 23980, 24368, 24700, 25120, 25449, 26084, 26797, 27518, 27946, 28265, 28524, 28794, 29595, 30432, 31109, 31538, 31857, 32091, 32543, 33040, 34067, 34577, 34859, 35161, 35048, 35571, 35925, 37391, 39055, 40179, 40827, 41284, 41555, 41687, 41844, 42430, 44086, 46347, 47861, 48584, 49226, 49837, 50613]

number of generations = 364
number of years = 36
